influencer_id,video_id,title,published,url,thumbnail
reading-the-past,fDNoB4trtrM,History News from August 2026 📱,2026-08-31,https://www.youtube.com/watch?v=fDNoB4trtrM,https://i.ytimg.com/vi/fDNoB4trtrM/hqdefault.jpg
reading-the-past,r-fHT2rGAB4,📣SNEAKY PEEK OF THE NEW VIDEO📣 #short,2026-09-04,https://www.youtube.com/watch?v=r-fHT2rGAB4,https://i.ytimg.com/vi/r-fHT2rGAB4/hqdefault.jpg
revues-du-monde,DhlmFfCfLKA,Déchiffrer le code le plus secret de l'Histoire,2025-12-28,https://www.youtube.com/watch?v=DhlmFfCfLKA,https://i.ytimg.com/vi/DhlmFfCfLKA/hqdefault.jpg
revues-du-monde,3i5-o_eAUuc,La carte de la prochaine guerre mondiale,2026-01-25,https://www.youtube.com/watch?v=3i5-o_eAUuc,https://i.ytimg.com/vi/3i5-o_eAUuc/hqdefault.jpg
revues-du-monde,EcKSCPA82z4,Die Glocke : l'arme nazie qui tuait ses scientifiques,2026-02-08,https://www.youtube.com/watch?v=EcKSCPA82z4,https://i.ytimg.com/vi/EcKSCPA82z4/hqdefault.jpg
revues-du-monde,qrw2iuaZCnY,Les expériences secrètes pour reprogrammer un cerveau,2026-04-05,https://www.youtube.com/watch?v=qrw2iuaZCnY,https://i.ytimg.com/vi/qrw2iuaZCnY/hqdefault.jpg
revues-du-monde,sAFpkK3g88M,Comment prouver que vous êtes bien vous,2026-05-26,https://www.youtube.com/watch?v=sAFpkK3g88M,https://i.ytimg.com/vi/sAFpkK3g88M/hqdefault.jpg
revues-du-monde,Gj9GmTUCi1Y,Voici ce qu’il faut faire pour sauver l’humanité,2026-06-21,https://www.youtube.com/watch?v=Gj9GmTUCi1Y,https://i.ytimg.com/vi/Gj9GmTUCi1Y/hqdefault.jpg
revues-du-monde,FC4ev4PKkGU,"Des astronautes ont retrouvé l'Atlantide, par hasard",2026-07-12,https://www.youtube.com/watch?v=FC4ev4PKkGU,https://i.ytimg.com/vi/FC4ev4PKkGU/hqdefault.jpg
revues-du-monde,TN4BkaziyXQ,L'objet le plus mal compris de l'archéologie,2026-08-30,https://www.youtube.com/watch?v=TN4BkaziyXQ,https://i.ytimg.com/vi/TN4BkaziyXQ/hqdefault.jpg
